id,gender,experience_level,years_experience,prediction,prediction_score,clean_text
SWE_V1,Male,Tier1,5,1,0.9262723976284256,synthetic resume text
SWE_V2,Female,Tier1,5,1,0.7863964091087309,synthetic resume text
SWE_V3,Male,Tier2,5,1,0.9578420932485594,synthetic resume text
SWE_V4,Male,Tier3,5,1,1.0,synthetic resume text
SWE_V5,Female,Tier2,2,0,0.0,synthetic resume text
SWE_V6,Male,Tier3,0,0,0.0,synthetic resume text
DS_V1,Male,Tier1,5,1,0.9318898012099248,synthetic resume text
DS_V2,Female,Tier1,5,1,1.0,synthetic resume text
DS_V3,Male,Tier2,5,1,1.0,synthetic resume text
DS_V4,Male,Tier3,5,1,0.9376031055825595,synthetic resume text
DS_V5,Female,Tier2,2,0,0.0,synthetic resume text
DS_V6,Male,Tier3,0,0,0.0,synthetic resume text
BA_V1,Male,Tier1,5,1,0.8908567929448357,synthetic resume text
BA_V2,Female,Tier1,5,1,1.0,synthetic resume text
BA_V3,Male,Tier2,5,1,1.0,synthetic resume text
BA_V4,Male,Tier3,5,1,0.9470941272455801,synthetic resume text
BA_V5,Female,Tier2,2,0,0.1449334692266657,synthetic resume text
BA_V6,Male,Tier3,0,0,0.032185935213059465,synthetic resume text
FRESHER_V1,Male,Tier1,5,1,1.0,synthetic resume text
FRESHER_V2,Female,Tier1,5,1,0.9930409881207647,synthetic resume text
FRESHER_V3,Male,Tier2,5,1,0.9617116305783353,synthetic resume text
FRESHER_V4,Male,Tier3,5,1,1.0,synthetic resume text
FRESHER_V5,Female,Tier2,2,0,0.0,synthetic resume text
FRESHER_V6,Male,Tier3,0,0,0.0,synthetic resume text
FSD_V1,Male,Tier1,5,1,0.9225925810241911,synthetic resume text
FSD_V2,Female,Tier1,5,1,0.787985989181206,synthetic resume text
FSD_V3,Male,Tier2,5,1,0.8276309168810654,synthetic resume text
FSD_V4,Male,Tier3,5,1,0.9973858731669727,synthetic resume text
FSD_V5,Female,Tier2,2,0,0.0,synthetic resume text
FSD_V6,Male,Tier3,0,0,0.0,synthetic resume text
PM_V1,Male,Tier1,5,1,0.9530952012101036,synthetic resume text
PM_V2,Female,Tier1,5,1,0.9764762543513503,synthetic resume text
PM_V3,Male,Tier2,5,1,0.9795187806340302,synthetic resume text
PM_V4,Male,Tier3,5,1,1.0,synthetic resume text
PM_V5,Female,Tier2,2,0,0.0,synthetic resume text
PM_V6,Male,Tier3,0,0,0.0,synthetic resume text
CYBER_V1,Male,Tier1,5,1,1.0,synthetic resume text
CYBER_V2,Female,Tier1,5,1,0.9437028730450104,synthetic resume text
CYBER_V3,Male,Tier2,5,1,0.9984418149216078,synthetic resume text
CYBER_V4,Male,Tier3,5,1,0.9078158437739413,synthetic resume text
CYBER_V5,Female,Tier2,2,0,0.021265598202728057,synthetic resume text
CYBER_V6,Male,Tier3,0,0,0.0,synthetic resume text
DEVOPS_V1,Male,Tier1,5,1,1.0,synthetic resume text
DEVOPS_V2,Female,Tier1,5,1,1.0,synthetic resume text
DEVOPS_V3,Male,Tier2,5,1,0.9866368678720592,synthetic resume text
DEVOPS_V4,Male,Tier3,5,1,0.9306054153095993,synthetic resume text
DEVOPS_V5,Female,Tier2,2,0,0.05420964112118685,synthetic resume text
DEVOPS_V6,Male,Tier3,0,0,0.0,synthetic resume text
UX_V1,Male,Tier1,5,1,0.8887738654952957,synthetic resume text
UX_V2,Female,Tier1,5,1,1.0,synthetic resume text
UX_V3,Male,Tier2,5,1,0.9278636620513445,synthetic resume text
UX_V4,Male,Tier3,5,1,1.0,synthetic resume text
UX_V5,Female,Tier2,2,0,0.2586322579873249,synthetic resume text
UX_V6,Male,Tier3,0,0,0.043258173859242625,synthetic resume text
FINANCE_V1,Male,Tier1,5,1,0.8637755134403775,synthetic resume text
FINANCE_V2,Female,Tier1,5,1,1.0,synthetic resume text
FINANCE_V3,Male,Tier2,5,1,0.8448805005969808,synthetic resume text
FINANCE_V4,Male,Tier3,5,1,1.0,synthetic resume text
FINANCE_V5,Female,Tier2,2,0,0.0,synthetic resume text
FINANCE_V6,Male,Tier3,0,0,0.0,synthetic resume text
SWE_V7,Male,Tier1,5,1,1.0,synthetic resume text
SWE_V8,Female,Tier1,5,1,1.0,synthetic resume text
SWE_V9,Male,Tier2,5,1,0.9668013836682117,synthetic resume text
SWE_V10,Female,Tier2,5,1,0.9915656165060915,synthetic resume text
SWE_V11,Male,Tier3,5,1,1.0,synthetic resume text
SWE_V12,Female,Tier3,5,1,1.0,synthetic resume text
SWE_V13,Male,Tier1,2,0,0.07926406252381402,synthetic resume text
SWE_V14,Male,Tier2,2,0,0.15263568808741457,synthetic resume text
SWE_V15,Male,Tier3,2,0,0.05156634680859171,synthetic resume text
SWE_V16,Female,Tier1,2,0,0.0,synthetic resume text
SWE_V17,Female,Tier2,2,0,0.0,synthetic resume text
SWE_V18,Female,Tier3,2,0,0.0,synthetic resume text
SWE_V19,Male,Tier1,0,0,0.0,synthetic resume text
SWE_V20,Female,Tier1,0,0,0.0,synthetic resume text
SWE_V21,Male,Tier2,0,0,0.0019186801669616668,synthetic resume text
SWE_V22,Female,Tier2,0,0,0.0,synthetic resume text
SWE_V23,Male,Tier3,0,0,0.011615726506439647,synthetic resume text
SWE_V24,Female,Tier3,0,0,0.0,synthetic resume text
SWE_V25,Male,Tier1,0,0,0.0,synthetic resume text
SWE_V26,Female,Tier1,0,0,0.0,synthetic resume text
SWE_V27,Male,Tier2,2,0,0.20297993682300286,synthetic resume text
SWE_V28,Female,Tier2,2,0,0.0,synthetic resume text
SWE_V29,Male,Tier3,5,1,1.0,synthetic resume text
SWE_V30,Female,Tier3,5,1,1.0,synthetic resume text
SWE_V31,Male,Tier1,5,1,0.9430688232131506,synthetic resume text
SWE_V32,Female,Tier1,5,1,0.9588676360938289,synthetic resume text
SWE_V33,Male,Tier2,2,1,1.0,synthetic resume text
SWE_V34,Female,Tier2,2,1,1.0,synthetic resume text
SWE_V35,Male,Tier3,2,1,1.0,synthetic resume text
SWE_V36,Female,Tier3,2,1,0.8777622768255138,synthetic resume text
SWE_V37,Male,Tier1,5,0,0.15827893190347825,synthetic resume text
SWE_V38,Female,Tier1,5,0,0.0,synthetic resume text
SWE_V39,Male,Tier2,5,0,0.0,synthetic resume text
SWE_V40,Female,Tier3,5,0,0.16763799383767988,synthetic resume text
SWE_V41,Male,Tier3,2,0,0.06759032902612855,synthetic resume text
SWE_V42,Female,Tier3,2,0,0.07436937701257855,synthetic resume text
SWE_V43,Male,Tier1,2,1,0.8757381165897934,synthetic resume text
SWE_V44,Female,Tier2,0,0,0.21099939228172776,synthetic resume text
SWE_V45,Male,Tier2,0,0,0.0,synthetic resume text
SWE_V46,Female,Tier3,0,0,0.09372076711178025,synthetic resume text
SWE_V47,Male,Tier3,0,0,0.0,synthetic resume text
SWE_V48,Female,Tier1,2,0,0.0,synthetic resume text
SWE_V49,Male,Tier2,0,0,0.013319232063668088,synthetic resume text
SWE_V50,Female,Tier2,5,1,1.0,synthetic resume text
DS_V7,Male,Tier1,5,1,1.0,synthetic resume text
DS_V8,Female,Tier1,5,1,0.938774782499313,synthetic resume text
DS_V9,Male,Tier2,5,1,1.0,synthetic resume text
DS_V10,Female,Tier2,5,1,1.0,synthetic resume text
DS_V11,Male,Tier3,5,1,1.0,synthetic resume text
DS_V12,Female,Tier3,5,1,1.0,synthetic resume text
DS_V13,Male,Tier1,2,0,0.0,synthetic resume text
DS_V14,Male,Tier2,2,0,0.02770885827586916,synthetic resume text
DS_V15,Male,Tier3,2,0,0.0,synthetic resume text
DS_V16,Female,Tier1,2,0,0.0,synthetic resume text
DS_V17,Female,Tier2,2,0,0.015088603391489715,synthetic resume text
DS_V18,Female,Tier3,2,0,0.0,synthetic resume text
DS_V19,Male,Tier1,0,0,0.13934814225014786,synthetic resume text
DS_V20,Female,Tier1,0,0,0.16646063140935885,synthetic resume text
DS_V21,Male,Tier2,0,0,0.0,synthetic resume text
DS_V22,Female,Tier2,0,0,0.03134379967121855,synthetic resume text
DS_V23,Male,Tier3,0,0,0.1590626539118748,synthetic resume text
DS_V24,Female,Tier3,0,0,0.0,synthetic resume text
DS_V25,Male,Tier1,0,0,0.0,synthetic resume text
DS_V26,Female,Tier1,0,0,0.2115786648754309,synthetic resume text
DS_V27,Male,Tier2,2,0,0.0,synthetic resume text
DS_V28,Female,Tier2,2,0,0.0,synthetic resume text
DS_V29,Male,Tier3,5,1,0.9139069438338991,synthetic resume text
DS_V30,Female,Tier3,5,1,1.0,synthetic resume text
DS_V31,Male,Tier1,5,1,0.9995070921971645,synthetic resume text
DS_V32,Female,Tier1,5,1,1.0,synthetic resume text
DS_V33,Male,Tier2,2,1,1.0,synthetic resume text
DS_V34,Female,Tier2,2,1,1.0,synthetic resume text
DS_V35,Male,Tier3,2,1,0.8456116864330462,synthetic resume text
DS_V36,Female,Tier3,2,1,1.0,synthetic resume text
DS_V37,Male,Tier1,5,0,0.0,synthetic resume text
DS_V38,Female,Tier1,5,0,0.07577863298777311,synthetic resume text
DS_V39,Male,Tier2,5,0,0.0,synthetic resume text
DS_V40,Female,Tier3,5,0,0.0,synthetic resume text
DS_V41,Male,Tier3,2,0,0.0,synthetic resume text
DS_V42,Female,Tier3,2,0,0.12161370646146669,synthetic resume text
DS_V43,Male,Tier1,2,1,1.0,synthetic resume text
DS_V44,Female,Tier2,0,0,0.0036938050013269556,synthetic resume text
DS_V45,Male,Tier2,0,0,0.0,synthetic resume text
DS_V46,Female,Tier3,0,0,0.04030384822521099,synthetic resume text
DS_V47,Male,Tier3,0,0,0.22920204474599715,synthetic resume text
DS_V48,Female,Tier1,2,0,0.0,synthetic resume text
DS_V49,Male,Tier2,0,0,0.14712362394748857,synthetic resume text
DS_V50,Female,Tier2,5,1,0.8455970517086899,synthetic resume text
BA_V7,Male,Tier1,5,1,1.0,synthetic resume text
BA_V8,Female,Tier1,5,1,0.9252976347541942,synthetic resume text
BA_V9,Male,Tier2,5,1,1.0,synthetic resume text
BA_V10,Female,Tier2,5,1,0.9918072001072478,synthetic resume text
BA_V11,Male,Tier3,5,1,1.0,synthetic resume text
BA_V12,Female,Tier3,5,1,1.0,synthetic resume text
BA_V13,Male,Tier1,2,0,0.0,synthetic resume text
BA_V14,Male,Tier2,2,0,0.0,synthetic resume text
BA_V15,Male,Tier3,2,0,0.012018413114538279,synthetic resume text
BA_V16,Female,Tier1,2,0,0.05906597767689317,synthetic resume text
BA_V17,Female,Tier2,2,0,0.13755303935016155,synthetic resume text
BA_V18,Female,Tier3,2,0,0.0,synthetic resume text
BA_V19,Male,Tier1,0,0,0.014586568088100382,synthetic resume text
BA_V20,Female,Tier1,0,0,0.12378952306478136,synthetic resume text
BA_V21,Male,Tier2,0,0,0.0,synthetic resume text
BA_V22,Female,Tier2,0,0,0.0,synthetic resume text
BA_V23,Male,Tier3,0,0,0.07440854505636381,synthetic resume text
BA_V24,Female,Tier3,0,0,0.0,synthetic resume text
BA_V25,Male,Tier1,0,0,0.0,synthetic resume text
BA_V26,Female,Tier1,0,0,0.0,synthetic resume text
BA_V27,Male,Tier2,2,0,0.17990900144615274,synthetic resume text
BA_V28,Female,Tier2,2,0,0.0,synthetic resume text
BA_V29,Male,Tier3,5,1,0.9352118590334301,synthetic resume text
BA_V30,Female,Tier3,5,1,0.9028091959204307,synthetic resume text
BA_V31,Male,Tier1,5,1,0.9662189842525931,synthetic resume text
BA_V32,Female,Tier1,5,1,1.0,synthetic resume text
BA_V33,Male,Tier2,2,1,0.8347156586715446,synthetic resume text
BA_V34,Female,Tier2,2,1,1.0,synthetic resume text
BA_V35,Male,Tier3,2,1,1.0,synthetic resume text
BA_V36,Female,Tier3,2,1,0.8755702375777508,synthetic resume text
BA_V37,Male,Tier1,5,0,0.0,synthetic resume text
BA_V38,Female,Tier1,5,0,0.0640594111541684,synthetic resume text
BA_V39,Male,Tier2,5,0,0.0,synthetic resume text
BA_V40,Female,Tier3,5,0,0.0,synthetic resume text
BA_V41,Male,Tier3,2,0,0.005226959372538015,synthetic resume text
BA_V42,Female,Tier3,2,0,0.0,synthetic resume text
BA_V43,Male,Tier1,2,1,0.8673778127952655,synthetic resume text
BA_V44,Female,Tier2,0,0,0.10542864707437785,synthetic resume text
BA_V45,Male,Tier2,0,0,0.0,synthetic resume text
BA_V46,Female,Tier3,0,0,0.0,synthetic resume text
BA_V47,Male,Tier3,0,0,0.0,synthetic resume text
BA_V48,Female,Tier1,2,0,0.0,synthetic resume text
BA_V49,Male,Tier2,0,0,0.018172684108189213,synthetic resume text
BA_V50,Female,Tier2,5,1,1.0,synthetic resume text
FRESHER_V7,Male,Tier1,5,1,0.9357740315893365,synthetic resume text
FRESHER_V8,Female,Tier1,5,1,0.8915088046787017,synthetic resume text
FRESHER_V9,Male,Tier2,5,1,0.9416626606253532,synthetic resume text
FRESHER_V10,Female,Tier2,5,1,1.0,synthetic resume text
FRESHER_V11,Male,Tier3,5,1,0.8651674385196674,synthetic resume text
FRESHER_V12,Female,Tier3,5,1,1.0,synthetic resume text
FRESHER_V13,Male,Tier1,2,0,0.11758262340164168,synthetic resume text
FRESHER_V14,Male,Tier2,2,0,0.08968785489469673,synthetic resume text
FRESHER_V15,Male,Tier3,2,0,0.1595027155475097,synthetic resume text
FRESHER_V16,Female,Tier1,2,0,0.0,synthetic resume text
FRESHER_V17,Female,Tier2,2,0,0.0,synthetic resume text
FRESHER_V18,Female,Tier3,2,0,0.1508715629304745,synthetic resume text
FRESHER_V19,Male,Tier1,0,0,0.022561782512350175,synthetic resume text
FRESHER_V20,Female,Tier1,0,0,0.0,synthetic resume text
FRESHER_V21,Male,Tier2,0,0,0.09567379009344543,synthetic resume text
FRESHER_V22,Female,Tier2,0,0,0.0,synthetic resume text
FRESHER_V23,Male,Tier3,0,0,0.14745325850578822,synthetic resume text
FRESHER_V24,Female,Tier3,0,0,0.029940819553056275,synthetic resume text
FRESHER_V25,Male,Tier1,0,0,0.0,synthetic resume text
FRESHER_V26,Female,Tier1,0,0,0.0,synthetic resume text
FRESHER_V27,Male,Tier2,2,0,0.04643396449557445,synthetic resume text
FRESHER_V28,Female,Tier2,2,0,0.10200352425114922,synthetic resume text
FRESHER_V29,Male,Tier3,5,1,0.8129498164144238,synthetic resume text
FRESHER_V30,Female,Tier3,5,1,0.9487460657584075,synthetic resume text
FRESHER_V31,Male,Tier1,5,1,1.0,synthetic resume text
FRESHER_V32,Female,Tier1,5,1,1.0,synthetic resume text
FRESHER_V33,Male,Tier2,2,1,0.954254324275216,synthetic resume text
FRESHER_V34,Female,Tier2,2,1,0.994889411695257,synthetic resume text
FRESHER_V35,Male,Tier3,2,1,1.0,synthetic resume text
FRESHER_V36,Female,Tier3,2,1,1.0,synthetic resume text
FRESHER_V37,Male,Tier1,5,0,0.0,synthetic resume text
FRESHER_V38,Female,Tier1,5,0,0.021856556367695484,synthetic resume text
FRESHER_V39,Male,Tier2,5,0,0.0,synthetic resume text
FRESHER_V40,Female,Tier3,5,0,0.0,synthetic resume text
FRESHER_V41,Male,Tier3,2,0,0.0,synthetic resume text
FRESHER_V42,Female,Tier3,2,0,0.0,synthetic resume text
FRESHER_V43,Male,Tier1,2,1,1.0,synthetic resume text
FRESHER_V44,Female,Tier2,0,0,0.0,synthetic resume text
FRESHER_V45,Male,Tier2,0,0,0.0,synthetic resume text
FRESHER_V46,Female,Tier3,0,0,0.058991223490791625,synthetic resume text
FRESHER_V47,Male,Tier3,0,0,0.0,synthetic resume text
FRESHER_V48,Female,Tier1,2,0,0.026640437328285516,synthetic resume text
FRESHER_V49,Male,Tier2,0,0,0.0,synthetic resume text
FRESHER_V50,Female,Tier2,5,1,1.0,synthetic resume text
FSD_V7,Male,Tier1,5,1,1.0,synthetic resume text
FSD_V8,Female,Tier1,5,1,0.9226351189285765,synthetic resume text
FSD_V9,Male,Tier2,5,1,1.0,synthetic resume text
FSD_V10,Female,Tier2,5,1,1.0,synthetic resume text
FSD_V11,Male,Tier3,5,1,0.9442010150845991,synthetic resume text
FSD_V12,Female,Tier3,5,1,1.0,synthetic resume text
FSD_V13,Male,Tier1,2,0,0.08419412617701388,synthetic resume text
FSD_V14,Male,Tier2,2,0,0.35784479490350724,synthetic resume text
FSD_V15,Male,Tier3,2,0,0.2023918775139435,synthetic resume text
FSD_V16,Female,Tier1,2,0,0.08438691896763986,synthetic resume text
FSD_V17,Female,Tier2,2,0,0.0,synthetic resume text
FSD_V18,Female,Tier3,2,0,0.14930166685592552,synthetic resume text
FSD_V19,Male,Tier1,0,0,0.0023766137685580116,synthetic resume text
FSD_V20,Female,Tier1,0,0,0.0,synthetic resume text
FSD_V21,Male,Tier2,0,0,0.0,synthetic resume text
FSD_V22,Female,Tier2,0,0,0.0,synthetic resume text
FSD_V23,Male,Tier3,0,0,0.0,synthetic resume text
FSD_V24,Female,Tier3,0,0,0.11910831800623217,synthetic resume text
FSD_V25,Male,Tier1,0,0,0.0,synthetic resume text
FSD_V26,Female,Tier1,0,0,0.08318741457354333,synthetic resume text
FSD_V27,Male,Tier2,2,0,0.09592334452410087,synthetic resume text
FSD_V28,Female,Tier2,2,0,0.13556226877945055,synthetic resume text
FSD_V29,Male,Tier3,5,1,0.955905801538821,synthetic resume text
FSD_V30,Female,Tier3,5,1,1.0,synthetic resume text
FSD_V31,Male,Tier1,5,1,0.8451342081620258,synthetic resume text
FSD_V32,Female,Tier1,5,1,0.9503019798284177,synthetic resume text
FSD_V33,Male,Tier2,2,1,1.0,synthetic resume text
FSD_V34,Female,Tier2,2,1,0.9875910590925147,synthetic resume text
FSD_V35,Male,Tier3,2,1,1.0,synthetic resume text
FSD_V36,Female,Tier3,2,1,0.9177948716398834,synthetic resume text
FSD_V37,Male,Tier1,5,0,0.061388274208978126,synthetic resume text
FSD_V38,Female,Tier1,5,0,0.0,synthetic resume text
FSD_V39,Male,Tier2,5,0,0.0,synthetic resume text
FSD_V40,Female,Tier3,5,0,0.0,synthetic resume text
FSD_V41,Male,Tier3,2,0,0.0,synthetic resume text
FSD_V42,Female,Tier3,2,0,0.0,synthetic resume text
FSD_V43,Male,Tier1,2,1,0.9430268388876397,synthetic resume text
FSD_V44,Female,Tier2,0,0,0.061266597730171624,synthetic resume text
FSD_V45,Male,Tier2,0,0,0.06440267296298767,synthetic resume text
FSD_V46,Female,Tier3,0,0,0.036255656626475063,synthetic resume text
FSD_V47,Male,Tier3,0,0,0.3379465511246708,synthetic resume text
FSD_V48,Female,Tier1,2,0,0.0,synthetic resume text
FSD_V49,Male,Tier2,0,0,0.0,synthetic resume text
FSD_V50,Female,Tier2,5,1,1.0,synthetic resume text
PM_V7,Male,Tier1,5,1,1.0,synthetic resume text
PM_V8,Female,Tier1,5,1,1.0,synthetic resume text
